Empresa_NOME,Unnamed: 0,Pasta,Centro de Custo SAP,C/ S/ PGTO,RNO,Empresa,Empresa.,Saldo Inicial M-1 SOCIO+EMPRESA,Saldo Inicial SÓCIO,ADIÇÃO NOVO,Qnt,OUTRAS ADIÇÕES,Qnt.1,ENCERRADO,Qnt.2,OUTRAS REVERSÕES,Qnt.3,ATUALIZAÇÃO,Qnt.4,Saldo FINAL SÓCIO,Unnamed: 20,Saldo Inicial EMPRESA,ADIÇÃO NOVO.1,Qnt.5,OUTRAS ADIÇÕES.1,Qnt.6,OUTRAS ADIÇÕES ENTRE EMPRESAS,Qnt.7,ENCERRADO.1,Qnt.8,OUTRAS REVERSÕES.1,Qnt.9,OUTRAS REVERSÕES ENTRE EMPRESAS,Qnt.10,ATUALIZAÇÃO.1,Qnt.11,Saldo FINAL EMPRESA,Unnamed: 37,Saldo Final TOTAL SÓCIO + EMPRESA,Unnamed: 24,OUTRAS ADIÇÕES ENTRE EMPRESAS.1,OUTRAS REVERSÕES ENTRE EMPRESAS.1,Qnt.12,Qnt.13,Unnamed: 41,Saldo incial Sócio,Saldo FINAL Sócio,Unnamed: 18,Saldo incial Empresa,Saldo final Empresa,Unnamed: 33
ASAP LOG,,,Saldo Total,,,,,41371098.46485802,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,41371098.46485804,38165.9677378431,,1979780.623949712,,8614.47135881483,,-274572.8545729731,,-1297894.2436486203,,0.0,,307738.8636099075,,42132931.29329273,,42132931.29329273,,,,,,,,,,,,
ASAP LOG,,,Saldo Total,,,,,119775.35527190911,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,119775.35527190901,0.0,,0.0,,0.0,,0.0,,-48188.7088827141,,0.0,,-8195.557946280946,,63391.088442914064,,63391.088442914064,,,,,,,,,,,,
BANQI,,,Saldo Total,,,,,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,
BARTIRA MASSA,,,Saldo Total,,,,,14150923.427333003,397191.4112702489,0.0,,0.0,,0.0,,0.0,,4266.210366217614,,401457.6216364666,,13753732.016062753,0.0,,173887.53,,0.0,,-79199.78,,-235579.7050489163,,0.0,,264648.4361276703,,13877488.497141505,,14278946.118777972,,,,,,,,,,,,
CELER,,,Saldo Total,,,,,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,
CNT,,,Saldo Total,,,,,10569.2477761812,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,10569.2477761812,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,125.31157052160017,,10694.559346702801,,10694.559346702801,,,,,,,,,,,,
FUNDAÇÃO,,,Saldo Total,,,,,654682.6234449999,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,654682.623445,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7492.121216000014,,662174.744661,,662174.744661,,,,,,,,,,,,
GCB ESPECIAL,,,Saldo Total,,,,,17041089.665185016,293683.481942195,0,,0,,0,,0.0,,2350.221779959671,,296033.7037221555,,16747406.183242809,0.0,,500378.44999999995,,0.0,,-126408.35,,0.0,,0.0,,135399.47161503695,,17256775.75485786,,17552809.458580017,,0.0,0.0,,,,,,,,,
GCB MASSA,,,Saldo Total,,,,,1602175453.0234177,49112149.96933493,71086.30294052682,,403350.9392234679,,-79913.74631486349,,-2640339.951919534,,296755.04828007484,,47163088.56154462,,1553063303.0544896,2070956.0664488378,,31016740.044420198,,0.0,,-10213411.2088368,,-28574198.736236658,,0.0,,13249007.932208447,,1560603782.682098,,1607766871.2436433,,0.0,-8614.47,,,,,,,,,
GCBON MASSA,,,Saldo Total,,,,,6612370.318319729,,0,,0.0,,0.0,,-30.268418352306,,-19819.649886457977,,,,,0.0,,0.0,,,,0.0,,-970594.7815816476,,0.0,,-215910.69588825078,,,,5406014.922545019,,,,,,,2101357.4054612666,1764736.2387008204,,4511012.912858462,3641278.683844199,
GLOBEX,,,Saldo Total,,,,,585779.3860879999,585779.3860879999,0.0,,0.0,,0.0,,0.0,,2217.49454710225,,191822.62116273015,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4715.89514889775,,400890.15462126984,,592712.7757839999,,,,,,,,,,,,
INTEGRA,,,Saldo Total,,,,,0,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,
VIAHUB,,,Saldo Total,,,,,1233800.9612520002,0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1233800.9612520002,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14454.077696000002,,1248255.038948,,1248255.038948,,,,,,,,,,,,
